gittimestamp,terminal_id,vessel_count,container_count,available_berths,available_cranes,average_wait_hours,congestion_level
2026-09-01T00:00:00,T1,5,9200,0,1,12.5,CRITICAL
2026-09-01T06:00:00,T1,4,8400,1,2,9.2,HIGH
2026-09-01T12:00:00,T1,4,7900,1,3,7.5,HIGH
2026-09-01T18:00:00,T1,3,6000,1,4,5.0,MEDIUM
2026-09-02T00:00:00,T1,2,4100,2,6,2.1,LOW
2026-09-02T06:00:00,T1,4,8900,0,2,11.0,CRITICAL
2026-09-02T12:00:00,T1,5,9800,0,1,13.8,CRITICAL
2026-09-02T18:00:00,T1,3,6500,1,3,5.5,MEDIUM
2026-09-01T00:00:00,T2,2,3800,2,4,3.0,LOW
2026-09-01T06:00:00,T2,3,5200,1,3,4.5,MEDIUM
2026-09-01T12:00:00,T2,3,5600,1,3,5.0,MEDIUM
2026-09-01T18:00:00,T2,4,6900,0,2,8.0,HIGH
2026-09-02T00:00:00,T2,2,3400,2,5,2.5,LOW
2026-09-02T06:00:00,T2,2,4100,2,4,3.2,LOW
2026-09-02T12:00:00,T2,3,5900,1,3,5.8,MEDIUM
2026-09-02T18:00:00,T2,3,5400,1,4,4.2,MEDIUM
2026-09-01T00:00:00,T3,1,1800,2,6,1.5,LOW
2026-09-01T06:00:00,T3,2,3200,2,5,2.2,LOW
2026-09-01T12:00:00,T3,2,3600,2,5,2.5,LOW
2026-09-01T18:00:00,T3,3,4900,1,4,4.0,MEDIUM
2026-09-02T00:00:00,T3,1,1500,3,7,1.0,LOW
2026-09-02T06:00:00,T3,2,2900,2,6,2.0,LOW
2026-09-02T12:00:00,T3,3,4800,1,4,3.8,MEDIUM
2026-09-02T18:00:00,T3,2,3100,2,5,2.1,LOW
2026-09-01T00:00:00,T4,1,900,1,2,1.2,LOW
2026-09-01T06:00:00,T4,1,1100,1,2,1.5,LOW
2026-09-01T12:00:00,T4,2,1800,0,1,4.0,MEDIUM
2026-09-01T18:00:00,T4,2,2100,0,1,4.8,MEDIUM
2026-09-02T00:00:00,T4,0,300,2,3,0.5,LOW
2026-09-02T06:00:00,T4,1,850,1,2,1.0,LOW
2026-09-02T12:00:00,T4,2,1950,0,1,4.2,MEDIUM
2026-09-02T18:00:00,T4,1,1200,1,2,2.0,LOW
